Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,2,40 - 70 ,Very Good,0,9,0,0,Yes,No,Scholarship agreement,Large,Large,Less,Good,Good,Yes,MT3,Secondary,Secondary,private company (pos malaysia),Civil servant,No,No,Group,More than 8,Yes,No,Less than 10,Non-gamer,Non-drinker,2,5,4
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FET,Bachelor's,2,40 - 70 ,Average,1 - 2,8,2,0,Yes,No,Course preference,Small,Medium,Less,Moderate,Moderate,No,LE3,Primary,Primary,Self-employed,Unemployed,No,No,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,3,3,2
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FCI,Bachelor's,1,40 - 70 ,Good,0,9,0,0,Yes,No,Scholarship ,Medium,Large,Sometimes,Moderate,Moderate,Yes,MT3,Secondary,Higher,Factory worker,Unemployed,Yes,No,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,3,3,2
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Diploma,2,40 - 70 ,Good,0,2,4,2,No,No,Course preference,Medium,Medium,None,Good,Good,No,MT3,Primary,Secondary,Self-employed,Unemployed,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,4,5,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FCI,Bachelor's,3,Less than 40,Very Good,0,0,0,0,No,Yes,University reputation,Medium,Medium,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,IT/ CS department,IT/ CS department,No,Yes,Alone,Less than 2,Yes,No,10 - 30,Light,Less,3,4,3
18 - 20,Male,Non-Malaysian,Family,Urban,No,FCI,Bachelor's,3,71 - 100,Very Good,0,0,0,0,No,No,University reputation,Medium,Medium,Sometimes,Good,Good,No,MT3,Early,Early,Self-employed,Home wife,Yes,Yes,Group,5 - 8,No,No,More than 60,Light,Non-drinker,2,5,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FCI,Diploma,1,71 - 100,Good,0,5,2,0,No,No,Course preference,Extra large,Large,None,Moderate,Moderate,No,MT3,Secondary,Higher,Technician,Finance and banking,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Light,Non-drinker,5,3,2
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FCI,Foundation,Less than 1,Less than 40,Very Good,0,10,0,0,No,Yes,Course preference,Medium,Large,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,No,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,4,3,2
21 - 23,Male,Malaysian,Friend or Roommate,Rural,No,FCI,Bachelor's,2,40 - 70 ,Average,3 - 4,1,0,2,No,Yes,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Primary,Higher,Clerk,Clerk,Yes,Yes,Group,Less than 2,Yes,No,10 - 30,Moderate,Non-drinker,3,3,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FCM,Bachelor's,Less than 1,Less than 40,Average,1 - 2,1,3,3,No,No,All of the above,Medium,Medium,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Civil servant,Unemployed,No,Yes,Group,Less than 2,No,No,Less than 10,Heavy,Sometimes,3,5,5
24 - 26,Female,Malaysian,Family,Urban,Yes,FCM,Bachelor's,2,40 - 70 ,Good,0,1,2,4,No,No,Course preference,Large,Small,Less,Poor,Moderate,Yes,MT3,Higher,Higher,Civil servant,Education,No,Yes,Alone,2 - 5,No,No,Less than 10,Light,Non-drinker,3,3,2
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70 ,Good,0,8,2,0,No,Yes,Course preference,Extra large,Large,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Group,Less than 2,No,No,10 - 30,Light,Less,4,3,4
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FOE,Bachelor's,2,More than 100,Very Good,0,0,0,0,No,Yes,University reputation,Small,Small,Less,Moderate,Moderate,No,MT3,Higher,Secondary,Self-employed,Unemployed,No,Yes,Group,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,3,5,4
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FOE,Bachelor's,3,71 - 100,Very Good,0,5,5,0,No,Yes,Course preference,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Civil servant,Unemployed,No,No,Alone,Less than 2,Yes,No,10 - 30,Light,Less,4,2,3
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOM,Bachelor's,3,71 - 100,Average,1 - 2,2,3,3,No,No,University reputation,Large,Medium,Less,Good,Moderate,No,LE3,Higher,Secondary,Education,Self-employed,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,5,5,5
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCI,Bachelor's,1,Less than 40,Very Good,0,5,5,0,No,Yes,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Alone,Less than 2,No,Yes,Less than 10,Light,Non-drinker,3,4,2
